tuid,source_segment,target_segment,domain
11,"Following the 2018 revision of the national clearance criteria, a portion of the decommissioning debris was classified as exempt waste and released from regulatory control.",После пересмотра национальных критериев освобождения в 2018 году часть образовавшихся при выводе из эксплуатации отходов была отнесена к изъятым отходам и выведена из-под регулирующего контроля.,Nuclear Energy / Atomic Industry
12,"In the safety case for the repository, advection was found to dominate radionuclide migration in the fracture network, while diffusion prevailed in the intact rock matrix.","В обосновании безопасности хранилища было установлено, что адвекция преобладает при миграции радионуклидов в системе трещин, тогда как в ненарушенной матрице породы преобладает диффузия.",Nuclear Energy / Atomic Industry
13,"During decommissioning planning, the operator assessed activation levels in the reactor pressure vessel to determine the radioactive inventory and the appropriate dismantling strategy.",При планировании вывода из эксплуатации оператор оценил уровни активации в корпусе реактора для определения радиоактивного инвентаря и выбора соответствующей стратегии демонтажа.,Nuclear Energy / Atomic Industry
14,"The probabilistic safety assessment identified a single active component whose failure could lead to a loss of residual heat removal, prompting a design modification.","Вероятностный анализ безопасности выявил единственный активный элемент, отказ которого мог привести к потере отвода остаточного тепла, что потребовало изменения проекта.",Nuclear Energy / Atomic Industry
15,Workers handling unsealed sources are subject to periodic bioassay in accordance with the facility's radiation protection programme.,"Работники, обращающиеся с открытыми источниками, подлежат периодическому анализу биопроб в соответствии с программой радиационной защиты объекта.",Nuclear Energy / Atomic Industry
16,"The measured activity concentration in the groundwater sample was reported as 12 becquerels per litre, well below the derived release limit.","Измеренная концентрация активности в пробе подземных вод составила 12 беккерелей на литр, что значительно ниже производного предела сброса.",Nuclear Energy / Atomic Industry
17,The safety assessment demonstrated that the near field would remain chemically reducing for at least the first ten thousand years after closure.,"Оценка безопасности показала, что ближняя зона будет оставаться химически восстановительной по крайней мере в течение первых десяти тысяч лет после закрытия.",Nuclear Energy / Atomic Industry
18,"The most credible failure mode identified for the canister was stress corrosion cracking, which was subsequently addressed through an enhanced manufacturing specification.","Наиболее вероятным видом отказа контейнера было признано коррозионное растрескивание под напряжением, что впоследствии было учтено в ужесточённых требованиях к изготовлению.",Nuclear Energy / Atomic Industry
19,Radionuclide transport in the far field was simulated over a one-million-year period using a coupled groundwater flow and geochemical model.,Перенос радионуклидов в дальней зоне моделировался на период в один миллион лет с использованием сопряжённой модели фильтрации подземных вод и геохимических процессов.,Nuclear Energy / Atomic Industry
20,"Their numerous applications include producing radiopharmaceuticals for cancer care and nuclear medicine, helping to create new materials for research and industry and training radiopharmacists.","Их многочисленные применения включают производство радиофармпрепаратов для лечения рака и ядерной медицины, помощь в создании новых материалов для исследований",Nuclear Energy / Atomic Industry
21,"They are used to produce radioisotopes for medicine and irradiate materials for the development of fission and fusion reactors, among other applications.","Они используются для производства радиоизотопов для медицины и облучения материалов для разработки реакторов деления и синтеза, среди прочих применений.",Nuclear Energy / Atomic Industry
22,"The IAEA supports Member States in developing neutron scattering capabilities at their research reactors, including through coordinated research projects and technical cooperation programmes.","МАГАТЭ оказывает поддержку государствам-членам в развитии возможностей нейтронного рассеяния на их исследовательских реакторах, в том числе через проекты координированных исследований и программы технического сотрудничества.",Nuclear Energy / Atomic Industry
23,"When the frequency of exceedance is very small and it cannot exceed unity (in the prescribed interval), this number approaches the probability of the same event if the random process is assumed to be Poissonian.","Когда частота превышения очень мала и не может превысить единицу (в заданном интервале), это число приближается к вероятности того же события, если предположить, что случайный процесс является пуассоновским.",Nuclear Energy / Atomic Industry
24,The geological fault shows evidence of past movement or movements (significant deformations and/or dislocations) of a recurring nature within such a period that it is reasonable to infer that further movements at or near the surface could occur.,"Геологический разлом содержит свидетельства прошлого движения или движений (значительных деформаций и/или смещений), носящих повторяющийся характер в течение такого периода, что разумно предположить возможность дальнейших движений на поверхности или вблизи неё.",Nuclear Energy / Atomic Industry
25,Helpers in an emergency are protected and are aware that they could be exposed to radiation while helping in response to a nuclear or radiological emergency.,"Помощники в чрезвычайной ситуации защищены и осведомлены о том, что они могут подвергнуться облучению, оказывая помощь при реагировании на ядерную или радиологическую аварийную ситуацию.",Nuclear Energy / Atomic Industry
26,"Extruded igneous rocks (volcanic rocks) are typically divided into four basic types according to their SiO2 content: basalt, andesite, dacite and rhyolite.","Экструзивные магматические породы (вулканические породы) обычно подразделяются на четыре основных типа в зависимости от содержания SiO2: базальт, андезит, дацит и риолит.",Nuclear Energy / Atomic Industry
27,"For the consideration of hypothetical events at the design stage, the term postulated initiating event is used.",При рассмотрении гипотетических событий на стадии проектирования применяется термин постулируемое исходное событие.,Nuclear Energy / Atomic Industry
28,"Other exposure pathways by intake are injection (e.g. in nuclear medicine) and intake via a wound, as distinguished from intake through (intact) skin.","Другими путями облучения в результате поступления радионуклидов являются инъекции (например, в ядерной медицине) и поступление через рану, в отличие от поступления через (неповрежденную) кожу.",Nuclear Energy / Atomic Industry
29,The exposure that results from an acute intake is not necessarily acute exposure.,"Облучение, которое происходит в результате острого поступления, не обязательно является острым облучением.",Nuclear Energy / Atomic Industry
30,"In the case of a geological disposal facility, assessment of the long term action of processes and events that are uncertain leads to projections of long term potential exposure.",В случае пункта геологического захоронения проведение оценки долгосрочного воздействия неопределенных процессов и событий позволяет получить прогнозы долгосрочного потенциального облучения.,Nuclear Energy / Atomic Industry
31,External shielding materials surrounding the low specific activity material are required not to be considered in determining the estimated average specific activity.,"Материалы внешней защиты, окружающей материал с низкой удельной активностью, при определении установленной средней удельной активности учитываться не должны.",Nuclear Energy / Atomic Industry
32,"Competence of persons is normally assessed by the State by having a formal mechanism for registration, accreditation or certification of medical physicists in the various specialties.","Компетентность, как правило, определяется государством посредством официального механизма регистрации, аккредитации или сертификации медицинских физиков в соответствующей области специализации.",Nuclear Energy / Atomic Industry
33,"A sample containing exactly the minimum significant activity will, as a result of random fluctuations, be taken to be free of radioactivity 50% of the time, whereas a true background sample will be taken to be free of radioactivity 95% of the time.","Образец, определенно обладающий минимальной значимой активностью, может рассматриваться, с учетом случайных колебаний, как не имеющий радиоактивности на протяжении 50% времени, в то время как истинно репрезентативный образец фона может рассматриваться как не имеющий радиоактивности на протяжении 95% времени.",Nuclear Energy / Atomic Industry
34,The counting rate from a sample containing the minimum detectable activity is termed the determination level.,"Скорость счета у образца, обладающего минимальной обнаруживаемой активностью, называется уровнем определения.",Nuclear Energy / Atomic Industry
35,"Recycling reduces the wastage of useful materials, the use of raw materials and energy use.","Рециклирование позволяет снизить потери полезных материалов, сократить объемы использования сырья и энергопотребления.",Nuclear Energy / Atomic Industry
36,"The model used by the risk monitor is based on, and is consistent with, the ‘living’ probabilistic safety assessment for the facility.","Модель, используемая в мониторе риска, основана на текущем вероятностном анализе безопасности для установки и согласуется с этим анализом.",Nuclear Energy / Atomic Industry
37,"Monitoring may be subdivided according to where the measurements are made, into individual monitoring and workplace monitoring.","Мониторинг можно классифицировать в зависимости от места проведения измерений — индивидуальный мониторинг, мониторинг рабочего места.",Nuclear Energy / Atomic Industry
38,"Although the term unirradiated thorium is used, the issue is not really whether the thorium has been irradiated, but rather whether the content of 233U (a fissile material) is significantly higher than the trace levels found in naturally occurring thorium.","Термин необлученный торий применяется несмотря на то, что при этом фактически смысл заключается не в том, был ли торий облучен или нет, а скорее в том, является ли содержание 233U (делящегося материала) значительно выше, чем следовые уровни в тории природного происхождения.",Nuclear Energy / Atomic Industry
39,"In such cases, the safety case should acknowledge the existence of any unresolved issues and should provide guidance for work to resolve these issues in future development stages.",В таких случаях в обосновании безопасности следует отмечать наличие любых нерешенных проблем и приводить рекомендации в отношении действий по решению этих проблем на будущих стадиях разработки проекта.,Nuclear Energy / Atomic Industry
40,"Volcano generated missiles can be of any material, such as rock fragments, trees and structural debris, that is rapidly transported by flow phenomena with significant momentum and that may impact structures, causing considerable damage, even beyond the extent of the main flow itself.","Образуемые вулканом обломки могут состоять из любых материалов, таких как фрагменты породы, деревья и обломки строений, которые быстро переносятся движущимися потоками со значительным моментом количества движения и которые могут ударять по конструкциям, причиняя им существенный ущерб, даже за пределами основного потока.",Nuclear Energy / Atomic Industry
41,"Immobilization reduces the potential for migration or dispersion of radionuclides during handling, transport, storage and/or disposal.","Иммобилизация снижает возможность миграции или рассеивания радионуклидов в процессе манипулирования, перевозки, хранения и/или захоронения.",Nuclear Energy / Atomic Industry
42,"Conditioning may include the conversion of the waste to a solid waste form, enclosure of the waste in containers and, if necessary, provision of an overpack.","Кондиционирование может включать перевод отходов в твердую форму отходов, помещение отходов в контейнеры и при необходимости формирование транспортного пакета.",Nuclear Energy / Atomic Industry
43,"If treatment does not result in an appropriate waste form, the waste may be immobilized.","Если обработка не приводит к получению соответствующей формы отходов, отходы могут быть подвергнуты иммобилизации.",Nuclear Energy / Atomic Industry
44,"Typical volume reduction methods are mechanical compaction, incineration and evaporation.","Типичные методы сокращения объема — это механическое компактирование, сжигание и выпаривание.",Nuclear Energy / Atomic Industry
45,Area survey is followed by site characterization.,За обследованием территории следует стадия характеризации площадки.,Nuclear Energy / Atomic Industry
46,"Operator includes, inter alia, private individuals, governmental bodies, consignors or carriers, licensees, hospitals, self-employed persons.","В число операторов входят, в частности, частные лица, государственные (правительственные) органы, грузоотправители или перевозчики, лицензиаты, лечебные учреждения и самозанятые лица (лица, работающее не по найму).",Nuclear Energy / Atomic Industry
47,Operational quantities are defined for the purpose of measurement and assessment of doses in the human body.,"Операционные величины установлены для проведения измерений и оценки доз излучения, воздействующих на организм человека.",Nuclear Energy / Atomic Industry
48,"Conceptually, clearance is closely linked to, but distinct from and not to be confused with, exemption — determining that controls do not need to be applied to certain sources and facilities and activities.","Концептуально освобождение от контроля имеет тесную связь с изъятием, т.е. решением, отменяющим необходимость применения мер контроля в отношении некоторых источников и установок и деятельности, однако в то же время оно имеет определенные отличия от него, и эти два понятия не следует путать.",Nuclear Energy / Atomic Industry
49,"The licensing basis, in addition to a set of regulatory requirements, may also include agreements and commitments made between the regulatory body and the licensee.","В основу лицензирования, помимо регулирующих требований, могут быть также включены соглашения и обязательства между регулирующим органом и лицензиатом.",Nuclear Energy / Atomic Industry
50,"Between the permanent shutdown of the facility and approval of the decommissioning plan, there may be a period of transition.",Возможен переходный период между моментом окончательного остановки установки и моментом утверждения плана вывода из эксплуатации.,Nuclear Energy / Atomic Industry
51,"A calibration may be expressed by a statement, calibration function, calibration diagram, calibration curve or calibration table.","Результаты калибровки могут быть оформлены как акт, калибровочная функция, калибровочная диаграмма, калибровочная кривая или калибровочная таблица.",Nuclear Energy / Atomic Industry
52,A channel loses its identity where single output signals are combined with signals from other channels.,"Канал теряет свою идентичность, когда сигналы одного выхода объединяются с сигналами, поступающими от других каналов.",Nuclear Energy / Atomic Industry
53,Qualification is generally performed in the context of a specific set of qualification requirements for the specific facility and class of system and for the specific application.,"Квалификация обычно проводится с использованием конкретного набора квалификационных требований, действующих в отношении конкретной установки и конкретного класса системы, в также конкретного применения.",Nuclear Energy / Atomic Industry
54,The design is required to ensure in particular that any failure of items important to safety in a system in a lower safety class will not propagate to a system in a higher safety class.,"При проектировании требуется обеспечивать, в частности, чтобы любой отказ узлов, важных для безопасности, в системе с более низким классом безопасности не распространялся на систему с более высоким классом безопасности.",Nuclear Energy / Atomic Industry
55,"IAEA safety standards specify five emergency classes, namely general emergency, site area emergency, facility emergency, alert and other nuclear or radiological emergency.","В нормах безопасности МАГАТЭ определено пять классов аварийных ситуаций, а именно общая аварийная ситуация, аварийная ситуация на территории площадки, аварийная ситуация на установке, предупреждение об опасности, прочие ядерные или радиологические аварийные ситуации.",Nuclear Energy / Atomic Industry
56,Typical characteristics are long lived radionuclide concentrations exceeding the limitations for short lived waste.,"Типичные характеристики — это концентрации долгоживущих радионуклидов, превышающие ограничения для короткоживущих отходов.",Nuclear Energy / Atomic Industry
57,Low level waste is typically disposed of in near-surface repositories.,"Низкоактивные отходы, как правило, захораниваются в приповерхностных хранилищах.",Nuclear Energy / Atomic Industry
58,"Common end points include estimates of dose or risk, estimated frequency or probability of an event or type of event, expected number of health effects in a population, predicted environmental concentrations of radionuclides, etc.","Расчет общих конечных точек включает оценки дозы или риска, частоты повторения или вероятности возникновения события или данного типа события, ожидаемых воздействий на здоровье населения, прогнозируемых концентраций радионуклидов в окружающей среде и т.д.",Nuclear Energy / Atomic Industry
59,Large eruption clouds can encircle the Earth within days.,Крупные облака извержения могут обволакивать земной шар в течение нескольких дней.,Nuclear Energy / Atomic Industry
60,"In the context of radioactive waste management, the end state refers to disposal.",В контексте обращения с радиоактивными отходами конечное состояние относится к захоронению.,Nuclear Energy / Atomic Industry
61,"Irradiation installations include installations for external beam radiation therapy, installations for sterilization or preservation of commercial products and some installations for industrial radiography.","К числу облучательных установок относятся установки для внешней лучевой терапии, установки для стерилизации или сохранения коммерческой продукции и некоторые установки для промышленной радиографии.",Nuclear Energy / Atomic Industry
62,Exposure to ionizing radiation can be broadly divided into exposure categories according to the status of the individuals exposed.,Облучение в результате воздействия ионизирующего излучения может быть подразделено на категории облучения в зависимости от состояния облученного лица.,Nuclear Energy / Atomic Industry
63,Cladding may also provide structural support.,Оболочка может также служить конструкционной опорой.,Nuclear Energy / Atomic Industry
64,"Such a plant ceases to be a nuclear installation when all nuclear fuel elements have been removed permanently from the reactor core and have been stored safely in accordance with approved procedures, and a decommissioning programme has been agreed to by the regulatory body.","Такая станция перестает быть ядерной установкой, когда все ядерные тепловыделяющие элементы окончательно удаляются из активной зоны реактора и безопасно складируются в соответствии с утвержденными регламентами, а с регулирующим органом согласована программа вывода из эксплуатации.",Nuclear Energy / Atomic Industry
65,For radiation protection purposes the quantity dose equivalent has been superseded by equivalent dose.,Величина эквивалент дозы для целей радиационной защиты была заменена величиной эквивалентная доза.,Nuclear Energy / Atomic Industry
66,Evacuation may be taken as a precautionary urgent protective action based on observable conditions or plant conditions.,"Эвакуация может проводиться в качестве предупредительной срочной защитной меры, исходя из создавшейся обстановки или фиксируемых условий на станции.",Nuclear Energy / Atomic Industry
67,The waste form is a component of the waste package.,Форма отходов является элементом упаковки отходов.,Nuclear Energy / Atomic Industry
68,Often abbreviated to security in IAEA publications on nuclear security.,В публикациях МАГАТЭ по вопросам физической ядерной безопасности часто применяется сокращенная форма этого термина — физическая безопасность.,Nuclear Energy / Atomic Industry
69,The emergency response phase typically ends when the situation is under control.,"Фаза аварийного реагирования обычно заканчивается, когда ситуация находится под контролем.",Nuclear Energy / Atomic Industry
70,The term ‘facilities and activities’ is intended to provide an alternative to the terminology of sources and practices (or interventions) to refer to general categories of situations.,"Термин установки и деятельность предназначен для применения в качестве альтернативы терминам источники и практическая деятельность (или вмешательство) в случае ситуаций, относящихся к общим категориям.",Nuclear Energy / Atomic Industry
71,"Passive safety systems rely on natural forces such as gravity and natural circulation, eliminating the need for operator action or external power during an accident.","Системы пассивной безопасности опираются на естественные силы, такие как гравитация и естественная циркуляция, что исключает необходимость вмешательства оператора или внешнего электропитания при аварии.",Nuclear Energy / Atomic Industry
72,"A core melt can occur if decay heat is not adequately removed after reactor shutdown, especially when the core remains uncovered for a prolonged period.","Расплавление активной зоны может произойти, если остаточное тепловыделение не отводится должным образом после остановки реактора, особенно когда активная зона остается оголенной в течение длительного времени.",Nuclear Energy / Atomic Industry
73,"The critical mass of a fissile material depends on its geometry, enrichment, and the presence of a moderator or reflector, all of which influence the neutron economy of the system.","Критическая масса делящегося материала зависит от его геометрии, обогащения, а также наличия замедлителя или отражателя, которые определяют нейтронный баланс системы.",Nuclear Energy / Atomic Industry
74,Decay heat continues to be generated after reactor shutdown and must be reliably removed to prevent fuel damage and a potential core melt.,"Остаточное тепловыделение продолжается и после остановки реактора, и его необходимо надежно отводить, чтобы предотвратить повреждение топлива и возможное расплавление активной зоны.",Nuclear Energy / Atomic Industry
75,"Decommissioning of a nuclear facility requires a detailed plan approved by the regulatory body, including provisions for the management of residual radioactive material.","Вывод из эксплуатации ядерной установки требует подробного плана, утвержденного регулирующим органом, включая мероприятия по обращению с остаточными радиоактивными материалами.",Nuclear Energy / Atomic Industry
76,"Depleted uranium, obtained as a by-product of enrichment, is used in radiation shielding and as a component of mixed oxide fuel.","Обедненный уран, получаемый как побочный продукт обогащения, используется в радиационной защите и в качестве компонента смешанного оксидного топлива.",Nuclear Energy / Atomic Industry
77,The design basis accident defines the boundary conditions for which the plant must remain safe and the release of radioactive material must stay within authorized limits.,"Проектная авария определяет граничные условия, при которых станция должна оставаться безопасной, а выход радиоактивных материалов не должен превышать разрешенных пределов.",Nuclear Energy / Atomic Industry
78,"Each fuel assembly contains a bundle of fuel elements held together by spacer grids and end fittings, forming a unit suitable for loading into the reactor core.","Каждая тепловыделяющая сборка содержит пучок тепловыделяющих элементов, скрепленных дистанционирующими решетками и концевыми деталями, образуя узел, пригодный для загрузки в активную зону реактора.",Nuclear Energy / Atomic Industry
79,The half-life of a radionuclide determines the time required for its activity to decrease to one half of its initial value and is a key parameter in radioactive waste management.,"Период полураспада радионуклида определяет время, за которое его активность уменьшается вдвое от первоначального значения, и является ключевым параметром при обращении с радиоактивными отходами.",Nuclear Energy / Atomic Industry
80,"Mixed oxide fuel is used in light water reactors to recycle plutonium recovered from spent fuel, thereby reducing the inventory of separated plutonium.","Смешанное оксидное топливо используется в легководных реакторах для рециклирования плутония, извлеченного из отработавшего топлива, что позволяет сократить количество выделенного плутония.",Nuclear Energy / Atomic Industry
81,"In a thermal reactor, the moderator slows down fast neutrons to thermal energies, significantly increasing the probability of fission in uranium-235.","В тепловом реакторе замедлитель замедляет быстрые нейтроны до тепловых энергий, значительно увеличивая вероятность деления урана-235.",Nuclear Energy / Atomic Industry
82,"Reactivity is controlled by means of control rods, soluble neutron absorbers, or changes in the moderator temperature and density.","Реактивность контролируется с помощью управляющих стержней, растворимых поглотителей нейтронов или изменений температуры и плотности замедлителя.",Nuclear Energy / Atomic Industry
83,"Small modular reactors offer the potential for factory fabrication, reduced site construction time, and deployment in locations unsuitable for large nuclear power plants.","Малые модульные реакторы открывают возможность заводского изготовления, сокращения сроков строительства на площадке и размещения в местах, непригодных для крупных атомных станций.",Nuclear Energy / Atomic Industry
84,"Transuranic elements, such as plutonium, americium, and curium, are produced by neutron capture in uranium fuel and dominate the long-term radiotoxicity of spent fuel.","Трансурановые элементы, такие как плутоний, америций и кюрий, образуются в результате захвата нейтронов в урановом топливе и определяют долговременную радиотоксичность отработавшего топлива.",Nuclear Energy / Atomic Industry
85,"A zero-power reactor is used for experiments in reactor physics, where the neutron flux is too low to require forced cooling and the inventory of fission products remains negligible.","Реактор нулевой мощности используется для экспериментов по физике реакторов, где нейтронный поток слишком мал, чтобы требовать принудительного охлаждения, а количество продуктов деления остается незначительным.",Nuclear Energy / Atomic Industry
86,"Sheltering is an urgent protective action, used to provide shielding against external exposure and to reduce the intake of airborne radionuclides by inhalation.","Сооружение укрытия представляет собой срочную защитную меру, используемую для обеспечения защитного экранирования от внешнего облучения и для уменьшения ингаляционного поступления аэрозольных частиц радионуклидов.",Nuclear Energy / Atomic Industry
87,"The tissue equivalent material used in the ICRU sphere has a density of 1 g/cm3 and an elemental composition, by mass, of 76.2% oxygen, 11.1% carbon, 10.1% hydrogen and 2.6% nitrogen.","Тканеэквивалентный материал, используемый в стандартном шаре МКРЕ, имеет плотность 1 г/см3 и элементарный состав по массе 76,2% кислорода, 11,1% углерода, 10,1% водорода и 2,6% азота.",Nuclear Energy / Atomic Industry
88,The radiological assessor could be the radiation protection officer.,"Функции специалиста по оценке радиологической обстановки может исполнять лицо, ответственное за радиационную защиту.",Nuclear Energy / Atomic Industry
89,Sorption used in the context of radionuclide migration to describe the interaction of radionuclides in pore water or groundwater.,Термин «Sorption» применяется в связи с миграцией радионуклидов для обозначения взаимодействия радионуклидов в поровых или подземных водах.,Nuclear Energy / Atomic Industry
90,"A system code typically includes equations for thermohydraulics, neutronics and heat transfer, and must include special models for simulating the performance of components such as pumps and separators.","Как правило, в системный код включаются уравнения термогидравлики, нейтронной физики и теплопереноса, и в нем должны быть предусмотрены специальные модели для симуляции работы таких элементов, как насосы и сепараторы.",Nuclear Energy / Atomic Industry
91,The discharge of radioactive substances to the environment is subject to strict regulatory control.,Сброс радиоактивных веществ в окружающую среду подлежит строгому регулирующему контролю.,Nuclear Energy / Atomic Industry
92,The representative person will generally be a hypothetical construct and not an actual member of the population.,"Репрезентативное лицо, как правило, является гипотетической конструкцией, а не реальным лицом из населения.",Nuclear Energy / Atomic Industry
93,Dispersion models are used to predict the dispersal of radioactive material after a release.,Модели рассеяния используются для прогнозирования рассеяния радиоактивного материала после выброса.,Nuclear Energy / Atomic Industry
94,Physical protection measures are applied to prevent unauthorized access to radioactive material.,Меры физической защиты применяются для предотвращения несанкционированного доступа к радиоактивному материалу.,Nuclear Energy / Atomic Industry
95,Background radiation levels are continuously monitored at the facility boundary.,Уровни фонового излучения непрерывно контролируются на границе площадки.,Nuclear Energy / Atomic Industry
96,"An exposure pathway may be very simple, for example the external exposure pathway from airborne radionuclides, or a more complex chain, for example the internal exposure pathway from drinking milk from cows that ate grass contaminated with deposited radionuclides.","Путь облучения может быть очень простым, например, как в случае внешнего пути облучения от аэрозольных радионуклидов, или более сложной цепью, например, в случае внутреннего пути облучения при употреблении молока коров, которые питались травой, загрязненной радионуклидами.",Nuclear Energy / Atomic Industry
97,Natural uranium must be enriched to increase the concentration of uranium-235 for use in light water reactors.,Природный уран должен быть обогащен для повышения концентрации урана-235 для использования в легководных реакторах.,Nuclear Energy / Atomic Industry
98,Monte Carlo methods are commonly used to calculate absorbed fractions for different source–target geometries.,Для расчета поглощенных фракций при различных геометриях источник–мишень обычно используются методы Монте-Карло.,Nuclear Energy / Atomic Industry
99,The uptake of radionuclides by crops is a key pathway for human exposure in the food chain.,Поступление радионуклидов в сельскохозяйственные культуры является ключевым путём облучения человека по пищевой цепочке.,Nuclear Energy / Atomic Industry
100,"In a nuclear power plant, the prime mover of the turbine generator is the steam turbine driven by the reactor coolant system.","На атомной электростанции первичным двигателем турбогенератора является паровая турбина, приводимая в действие системой теплоносителя реактора.",Nuclear Energy / Atomic Industry
