Source (en),Target (ru),Comment
depleted uranium,обедненный уран,"Uranium having a percentage of uranium-235 smaller than the 0.7% found in natural uranium, typically obtained from spent fuel or enrichment tails."
design basis accident,проектная авария,"Accident conditions against which a nuclear facility is designed according to established design criteria, and for which the damage to the fuel and the release of radioactive material are kept within authorized limits."
fuel assembly,тепловыделяющая сборка,"A form of nuclear fuel consisting of bundles of fuel elements, fuel channels, distancing grids, and end fittings."
half-life,период полураспада,The time taken for one half the atoms of a radioactive substance to disintegrate.
mixed oxide fuel,смешанное оксидное топливо,"Nuclear fuel that contains a mixture of plutonium and uranium oxides, typically used to recycle plutonium from spent fuel."
moderator,замедлитель,"A material used in a thermal reactor to slow down fast neutrons, increasing the probability of fission in uranium-235."
reactivity,реактивность,"A measure of the departure of a reactor from criticality, expressed as the fractional change in neutron population per generation."
small modular reactor,малый модульный реактор,"A nuclear reactor designed to generate electric power typically up to 300 MW, with components and systems that can be factory-fabricated and transported as modules for installation on site."
transuranic elements,трансурановые элементы,"Artificial elements with atomic numbers higher than uranium (92), typically produced by neutron bombardment of uranium in a reactor."
zero-power reactor,реактор нулевой мощности,An experimental reactor operated at such low power levels that a coolant is not needed and little radioactivity is produced.
sheltering,укрытие,The short term use of a structure for protection from an airborne plume and/or deposited radioactive material.
tissue equivalent material,тканеэквивалентный материал,"Material designed to have, when irradiated, interaction properties similar to those of soft tissue."
radiological assessor,специалист по оценке радиологической обстановки,"A person or team who in the event of a nuclear or radiological emergency assists the operator or off-site response organizations by performing radiological surveys, performing dose assessments, controlling contamination, ensuring the radiation protection of emergency workers and formulating recommendations on protective actions and other response actions."
sorption,сорбция,"The interaction of an atom, molecule or particle with the solid surface at a solid–solution or a solid–gas interface."
system code,системный код,A computational model that is capable of simulating the transient performance of a complex system such as a nuclear power plant.
discharge,сброс,Planned and controlled release of (usually gaseous or liquid) radioactive substances to the environment.
representative person,репрезентативное лицо,An individual receiving a dose that is representative of the doses to the more highly exposed individuals in the population.
dispersal,рассеяние,The spreading of radioactive material in the environment.
radioactive material,радиоактивный материал,Material designated in national law or by a regulatory body as being subject to regulatory control because of its radioactivity.
radiation,радиация,The emission and propagation of energy in the form of waves or particles.
exposure pathway,путь облучения,A route by which radiation or radionuclides can reach humans and cause exposure.
natural uranium,природный уран,"Uranium as found in nature, containing approximately 0.7% uranium-235, 99.3% uranium-238 and a trace amount of uranium-234."
absorbed fraction,поглощенная фракция,The fraction of energy emitted as a specified radiation type in a specified source region that is absorbed in a specified target tissue.
uptake,поглощение,A general term for the processes by which radionuclides enter one part of a biological system from another.
prime mover,первичный двигатель,A component that converts energy into action when commanded by an actuation device.
